DesignName,ParticipantID,TrialID,Block1,Block2,VV,OC
Preattentive Test,1,1,1,1,Addition,Medium
Preattentive Test,1,2,1,1,Addition,Medium
Preattentive Test,1,3,1,1,Addition,Medium
Preattentive Test,1,4,1,1,Addition,Medium
Preattentive Test,1,5,1,1,Addition,Medium
Preattentive Test,1,6,1,2,Addition,Low
Preattentive Test,1,7,1,2,Addition,Low
Preattentive Test,1,8,1,2,Addition,Low
Preattentive Test,1,9,1,2,Addition,Low
Preattentive Test,1,10,1,2,Addition,Low
Preattentive Test,1,11,1,3,Addition,High
Preattentive Test,1,12,1,3,Addition,High
Preattentive Test,1,13,1,3,Addition,High
Preattentive Test,1,14,1,3,Addition,High
Preattentive Test,1,15,1,3,Addition,High
Preattentive Test,1,16,2,1,Color,Medium
Preattentive Test,1,17,2,1,Color,Medium
Preattentive Test,1,18,2,1,Color,Medium
Preattentive Test,1,19,2,1,Color,Medium
Preattentive Test,1,20,2,1,Color,Medium
Preattentive Test,1,21,2,2,Color,Low
Preattentive Test,1,22,2,2,Color,Low
Preattentive Test,1,23,2,2,Color,Low
Preattentive Test,1,24,2,2,Color,Low
Preattentive Test,1,25,2,2,Color,Low
Preattentive Test,1,26,2,3,Color,High
Preattentive Test,1,27,2,3,Color,High
Preattentive Test,1,28,2,3,Color,High
Preattentive Test,1,29,2,3,Color,High
Preattentive Test,1,30,2,3,Color,High
Preattentive Test,1,31,3,1,ColorAddition,Medium
Preattentive Test,1,32,3,1,ColorAddition,Medium
Preattentive Test,1,33,3,1,ColorAddition,Medium
Preattentive Test,1,34,3,1,ColorAddition,Medium
Preattentive Test,1,35,3,1,ColorAddition,Medium
Preattentive Test,1,36,3,2,ColorAddition,Low
Preattentive Test,1,37,3,2,ColorAddition,Low
Preattentive Test,1,38,3,2,ColorAddition,Low
Preattentive Test,1,39,3,2,ColorAddition,Low
Preattentive Test,1,40,3,2,ColorAddition,Low
Preattentive Test,1,41,3,3,ColorAddition,High
Preattentive Test,1,42,3,3,ColorAddition,High
Preattentive Test,1,43,3,3,ColorAddition,High
Preattentive Test,1,44,3,3,ColorAddition,High
Preattentive Test,1,45,3,3,ColorAddition,High
Preattentive Test,2,46,1,1,ColorAddition,High
Preattentive Test,2,47,1,1,ColorAddition,High
Preattentive Test,2,48,1,1,ColorAddition,High
Preattentive Test,2,49,1,1,ColorAddition,High
Preattentive Test,2,50,1,1,ColorAddition,High
Preattentive Test,2,51,1,2,ColorAddition,Medium
Preattentive Test,2,52,1,2,ColorAddition,Medium
Preattentive Test,2,53,1,2,ColorAddition,Medium
Preattentive Test,2,54,1,2,ColorAddition,Medium
Preattentive Test,2,55,1,2,ColorAddition,Medium
Preattentive Test,2,56,1,3,ColorAddition,Low
Preattentive Test,2,57,1,3,ColorAddition,Low
Preattentive Test,2,58,1,3,ColorAddition,Low
Preattentive Test,2,59,1,3,ColorAddition,Low
Preattentive Test,2,60,1,3,ColorAddition,Low
Preattentive Test,2,61,2,1,Addition,High
Preattentive Test,2,62,2,1,Addition,High
Preattentive Test,2,63,2,1,Addition,High
Preattentive Test,2,64,2,1,Addition,High
Preattentive Test,2,65,2,1,Addition,High
Preattentive Test,2,66,2,2,Addition,Medium
Preattentive Test,2,67,2,2,Addition,Medium
Preattentive Test,2,68,2,2,Addition,Medium
Preattentive Test,2,69,2,2,Addition,Medium
Preattentive Test,2,70,2,2,Addition,Medium
Preattentive Test,2,71,2,3,Addition,Low
Preattentive Test,2,72,2,3,Addition,Low
Preattentive Test,2,73,2,3,Addition,Low
Preattentive Test,2,74,2,3,Addition,Low
Preattentive Test,2,75,2,3,Addition,Low
Preattentive Test,2,76,3,1,Color,High
Preattentive Test,2,77,3,1,Color,High
Preattentive Test,2,78,3,1,Color,High
Preattentive Test,2,79,3,1,Color,High
Preattentive Test,2,80,3,1,Color,High
Preattentive Test,2,81,3,2,Color,Medium
Preattentive Test,2,82,3,2,Color,Medium
Preattentive Test,2,83,3,2,Color,Medium
Preattentive Test,2,84,3,2,Color,Medium
Preattentive Test,2,85,3,2,Color,Medium
Preattentive Test,2,86,3,3,Color,Low
Preattentive Test,2,87,3,3,Color,Low
Preattentive Test,2,88,3,3,Color,Low
Preattentive Test,2,89,3,3,Color,Low
Preattentive Test,2,90,3,3,Color,Low
Preattentive Test,3,91,1,1,Color,Low
Preattentive Test,3,92,1,1,Color,Low
Preattentive Test,3,93,1,1,Color,Low
Preattentive Test,3,94,1,1,Color,Low
Preattentive Test,3,95,1,1,Color,Low
Preattentive Test,3,96,1,2,Color,High
Preattentive Test,3,97,1,2,Color,High
Preattentive Test,3,98,1,2,Color,High
Preattentive Test,3,99,1,2,Color,High
Preattentive Test,3,100,1,2,Color,High
Preattentive Test,3,101,1,3,Color,Medium
Preattentive Test,3,102,1,3,Color,Medium
Preattentive Test,3,103,1,3,Color,Medium
Preattentive Test,3,104,1,3,Color,Medium
Preattentive Test,3,105,1,3,Color,Medium
Preattentive Test,3,106,2,1,ColorAddition,Low
Preattentive Test,3,107,2,1,ColorAddition,Low
Preattentive Test,3,108,2,1,ColorAddition,Low
Preattentive Test,3,109,2,1,ColorAddition,Low
Preattentive Test,3,110,2,1,ColorAddition,Low
Preattentive Test,3,111,2,2,ColorAddition,High
Preattentive Test,3,112,2,2,ColorAddition,High
Preattentive Test,3,113,2,2,ColorAddition,High
Preattentive Test,3,114,2,2,ColorAddition,High
Preattentive Test,3,115,2,2,ColorAddition,High
Preattentive Test,3,116,2,3,ColorAddition,Medium
Preattentive Test,3,117,2,3,ColorAddition,Medium
Preattentive Test,3,118,2,3,ColorAddition,Medium
Preattentive Test,3,119,2,3,ColorAddition,Medium
Preattentive Test,3,120,2,3,ColorAddition,Medium
Preattentive Test,3,121,3,1,Addition,Low
Preattentive Test,3,122,3,1,Addition,Low
Preattentive Test,3,123,3,1,Addition,Low
Preattentive Test,3,124,3,1,Addition,Low
Preattentive Test,3,125,3,1,Addition,Low
Preattentive Test,3,126,3,2,Addition,High
Preattentive Test,3,127,3,2,Addition,High
Preattentive Test,3,128,3,2,Addition,High
Preattentive Test,3,129,3,2,Addition,High
Preattentive Test,3,130,3,2,Addition,High
Preattentive Test,3,131,3,3,Addition,Medium
Preattentive Test,3,132,3,3,Addition,Medium
Preattentive Test,3,133,3,3,Addition,Medium
Preattentive Test,3,134,3,3,Addition,Medium
Preattentive Test,3,135,3,3,Addition,Medium
Preattentive Test,4,136,1,1,Addition,Medium
Preattentive Test,4,137,1,1,Addition,Medium
Preattentive Test,4,138,1,1,Addition,Medium
Preattentive Test,4,139,1,1,Addition,Medium
Preattentive Test,4,140,1,1,Addition,Medium
